Snoring Range,Respiration Rate,Body Temperature,Limb Movment Rate,Blood Oxygen,Eye Movement,Number Of Hours Sleep,Heart Rate,Stress Level
66,29,91.58448705015002,6,94,102,10,64,0
52,28,97.19298879210116,4,92,60,8,58,0
46,24,91.57032701456352,7,96,73,7,56,0
64,22,86.97737943494221,7,93,82,8,60,0
69,20,97.35826524595132,4,96,87,7,51,0
60,18,98.15249477676836,6,95,86,9,63,0
48,20,88.39121074855359,7,94,89,8,64,0
55,21,87.82747700292884,5,96,95,8,56,0
54,22,86.371546684454,7,95,98,8,56,0
68,17,94.68813342343212,6,94,76,7,50,0
69,22,96.19099556926507,6,94,86,7,64,0
66,25,98.44428701981302,5,93,74,9,58,0
56,20,86.48766719394547,6,93,84,9,53,0
49,29,95.54216015080527,4,95,80,9,52,0
69,22,94.44777888289585,6,96,80,10,57,0
67,19,93.65587674055548,4,92,104,9,60,0
62,23,85.51845586503572,4,95,92,8,50,0
62,29,89.08976732885239,6,95,82,10,64,0
64,29,94.13895383896697,7,93,69,7,57,0
49,21,93.06625470430981,4,92,76,10,51,0
57,26,85.48544934194712,6,95,71,7,56,0
68,17,89.95587003053244,7,95,101,10,53,0
68,16,98.63062112980317,6,95,102,8,55,0
63,19,86.09401954466514,4,92,96,9,64,0
47,26,94.26952863348744,7,96,90,9,55,0
46,29,86.05455093026042,4,93,62,8,61,0
56,21,95.21074688384765,5,92,97,8,58,0
46,23,94.85252168094739,7,93,104,8,50,0
46,25,97.05676255946194,5,93,67,9,60,0
62,27,92.31825679205069,5,93,81,8,59,0
69,27,86.0061091031863,4,94,65,7,61,0
53,29,87.59537026333868,7,95,99,9,56,0
66,17,88.5777313357501,4,94,67,7,56,0
69,18,92.83964861490449,7,96,73,7,54,0
55,28,90.47217779609313,7,94,78,9,60,0
62,24,86.49159109861714,7,96,89,8,51,0
68,22,87.65169258035665,4,95,86,9,52,0
55,28,93.10229294691683,5,93,94,10,61,0
58,23,98.01355225750383,4,93,97,9,55,0
49,18,92.65750325290104,6,93,100,9,60,0
62,25,97.22013476181212,6,95,96,8,61,0
61,18,91.13117852135647,6,95,90,8,56,0
59,27,95.95716741035899,6,96,103,9,57,0
51,23,89.60480962665287,4,93,98,8,54,0
67,18,90.07227927128237,4,93,62,10,56,0
49,17,87.99808777579244,5,92,102,8,57,0
56,27,96.28030593153426,7,95,80,7,59,0
56,21,91.37091227400019,6,93,89,9,58,0
67,20,89.8329223497137,4,92,86,10,54,0
67,25,90.2613458231366,4,95,63,7,56,0
69,21,98.50386541150141,7,95,68,9,50,0
58,17,89.55448058854032,5,96,66,8,61,0
67,29,94.89376443941688,7,95,85,8,58,0
47,16,95.82826305709031,7,92,69,8,51,0
52,29,91.58965561852196,4,96,91,10,58,0
69,19,88.34471656331846,5,96,83,8,53,0
63,22,92.04092440769008,4,96,88,8,54,0
58,28,96.34793638506201,4,92,91,8,64,0
69,23,93.67115255357808,5,92,100,9,61,0
47,26,95.84995393517579,6,93,61,7,53,0
63,17,97.4221684690561,4,94,82,8,61,0
62,19,92.20126494545767,5,94,99,8,61,0
51,29,95.6537473319183,5,94,66,7,54,0
67,26,97.51550279871125,4,94,82,10,58,0
62,18,89.32085283063758,4,92,81,9,63,0
49,16,94.70562380669497,6,92,72,9,62,0
62,19,89.40869231811848,7,96,88,9,54,0
60,27,90.84751252480379,5,92,81,7,52,0
65,24,93.03639676614978,5,92,93,10,54,0
59,23,87.73353022103325,7,95,63,7,58,0
52,26,88.18053326153766,4,92,63,10,57,0
64,17,86.78964281144783,5,93,75,7,54,0
60,25,92.49750787785882,6,94,96,10,52,0
46,21,90.59261557842244,4,94,70,8,56,0
47,22,98.01333232068698,6,95,62,10,55,0
48,22,86.04609230887705,7,94,95,9,58,0
53,26,93.26426397241814,5,96,99,9,60,0
58,23,97.11404450756363,7,92,62,9,59,0
48,19,96.38254413059953,4,92,65,10,57,0
45,23,88.13804009544793,6,94,88,10,50,0
58,26,91.95236433266041,7,93,81,9,64,0
56,23,97.5522968063585,4,94,64,8,55,0
46,25,85.48255055916142,6,95,83,8,56,0
56,22,85.34795737938404,6,94,81,10,53,0
52,26,97.54200173262849,7,94,83,9,51,0
46,24,87.61220791271093,4,96,62,9,52,0
48,16,85.98262023804828,4,95,80,9,63,0
60,18,96.67365613792603,6,93,96,10,51,0
50,17,89.42806180328378,4,93,69,9,51,0
53,25,86.94392134062879,6,92,69,9,53,0
52,25,93.65653941379462,6,93,97,10,55,0
49,27,85.8299604948742,5,93,70,10,53,0
68,27,95.10244807111656,5,96,96,8,63,0
46,19,95.79554260246094,5,94,70,10,52,0
69,20,86.35959660056267,6,93,96,7,55,0
58,20,98.59560310295554,4,94,66,8,50,0
58,25,95.50614847810718,7,94,61,7,53,0
52,22,90.37358448790255,7,93,95,8,63,0
53,17,93.3730943402504,6,96,61,8,64,0
61,23,92.09055184930521,4,93,62,10,62,0
50,29,96.84515911370838,4,96,99,9,51,0
64,18,92.53654888902118,7,96,86,10,55,0
62,24,86.0633843745991,6,93,93,8,64,0
58,28,95.6868393200139,6,93,69,8,62,0
66,18,86.2373001698587,4,93,90,9,55,0
63,27,98.24103731453233,4,92,103,10,56,0
61,23,97.38200369849916,7,94,68,10,50,0
52,16,94.42662901199253,4,96,91,7,62,0
52,16,88.5116652983013,6,94,90,10,59,0
61,28,86.75337590814128,6,96,63,8,61,0
69,25,93.7799361754621,7,93,96,8,57,0
66,26,91.8114081410446,4,94,92,8,57,0
61,24,96.04688708992825,5,93,81,10,64,0
68,21,90.22284174453196,6,92,86,10,63,0
50,25,91.41125725059813,6,92,71,8,63,0
51,27,85.11926558735561,4,95,100,8,61,0
57,18,92.08477872533412,6,92,68,8,55,0
61,25,97.50843309193534,4,96,98,8,51,0
54,20,85.10699712976312,4,95,79,7,63,0
69,16,85.81436832215512,7,92,61,7,55,0
60,16,89.96209024119355,5,96,69,10,58,0
67,28,96.25128116923743,4,96,78,9,51,0
57,16,90.59949821605272,5,95,61,10,56,0
55,25,89.25814218270388,7,93,86,7,53,0
46,23,94.04254942175541,6,96,98,7,62,0
64,23,88.07886481580634,5,93,84,7,57,0
50,27,92.654723756197,7,93,78,10,53,0
64,21,85.25126700087424,4,96,89,7,62,0
47,19,97.03609166468738,5,95,101,8,53,0
54,27,90.7531752395846,5,92,91,8,62,0
65,23,98.6879871368393,7,96,70,9,56,0
61,23,94.27116530735884,6,96,78,9,61,0
63,25,87.88408941456109,5,95,102,10,52,0
45,29,89.61663442661771,5,95,66,8,56,0
67,16,88.33009623700929,5,93,98,7,56,0
69,23,85.00949832926194,5,96,95,9,63,0
64,23,92.66317572687859,5,93,82,7,51,0
53,23,98.92980754154347,6,93,73,8,56,0
53,17,98.10198859231157,4,92,67,7,63,0
60,20,87.6937076706437,6,96,62,10,59,0
49,23,86.9152054964493,6,96,94,8,50,0
46,23,95.01871705236732,4,93,76,9,62,0
65,19,97.93189471659149,6,92,90,7,50,0
68,28,98.53176303890427,7,92,101,10,59,0
66,29,88.48900419627552,5,94,62,7,51,0
57,20,98.6297300567889,6,94,93,9,59,0
63,26,93.241756103745,7,94,74,7,61,0
49,19,94.1719652670414,6,94,74,7,63,0
67,22,88.51409268631983,4,93,64,8,51,0
48,22,85.44190513651401,6,92,80,8,53,0
64,26,94.0498172388967,5,96,66,9,52,0
47,23,92.1484817141783,4,93,64,7,61,0
47,17,85.93939558240719,7,96,70,8,50,0
55,18,90.69394741912406,6,92,64,10,58,0
58,23,89.11299151049266,4,96,97,7,57,0
66,21,87.46591197284432,5,95,83,9,61,0
59,27,85.01190752698717,5,92,103,9,52,0
50,28,91.73789358862717,4,94,78,9,56,0
50,25,98.43280333873754,5,93,67,10,50,0
65,19,89.40113041222307,6,92,102,9,64,0
54,28,97.35349815750357,7,94,60,9,64,0
64,16,97.72862296078668,5,96,84,9,64,0
49,23,96.52130266481802,5,95,92,9,57,0
46,25,85.62609583664307,7,93,95,7,51,0
68,23,86.60320963880129,6,96,63,9,51,0
60,21,97.53972039763443,5,92,65,7,63,0
54,24,96.73142396836178,7,96,66,9,52,0
62,28,96.56285805981622,7,96,92,7,57,0
50,16,85.96693581874418,4,96,96,10,63,0
63,28,96.34995277499254,6,95,87,8,64,0
53,23,90.55345787626543,7,93,70,10,59,0
45,21,93.08316330195713,6,92,78,8,59,0
48,19,95.28570175450014,6,92,64,9,57,0
62,26,88.95832827499423,6,92,70,7,54,0
63,19,94.77442621986481,7,95,77,8,59,0
54,25,85.5762496842841,5,92,98,7,54,0
53,17,96.04830244278605,4,96,67,9,57,0
62,17,97.40969414468225,4,93,79,9,60,0
69,25,97.3222046671499,4,93,67,10,56,0
63,22,88.00922116746013,5,92,77,8,60,0
45,22,90.58256555369985,6,96,80,10,61,0
60,20,93.82283034689974,5,96,93,9,50,0
57,18,98.29270838794045,5,92,89,9,55,0
61,28,85.008088201294,6,92,76,10,58,0
47,16,88.43020362792582,6,94,103,8,61,0
64,26,90.96959793155251,7,94,77,9,58,0
57,19,91.91039965980976,4,96,61,10,59,0
59,25,98.94913360096619,5,93,66,8,50,0
54,20,96.13868164342564,4,92,80,7,55,0
49,21,88.89133195576679,6,95,102,9,58,0
57,22,97.76339081214653,4,93,77,8,51,0
45,26,90.07351328085393,5,96,89,7,55,0
57,17,94.73831103258594,6,93,97,8,56,0
53,26,85.6045641193872,4,96,81,10,50,0
62,22,88.24488240122511,6,96,83,10,63,0
62,29,96.80435535527218,5,94,64,10,50,0
50,26,87.39935941015696,4,96,101,10,57,0
48,25,95.26508132558588,6,94,81,10,56,0
60,21,96.7763031254793,4,95,70,10,60,0
49,21,95.51701193034839,5,93,67,8,61,0
55,24,93.62606687802162,4,94,102,10,55,0
50,16,86.95432482167054,7,93,91,8,55,0
45,16,94.59254521929442,7,96,97,7,50,0
64,16,97.08124669152558,4,96,82,8,53,0
63,16,98.54700018494283,7,96,68,9,54,0
50,27,89.92437482526161,4,92,61,9,59,0
59,27,89.77456162646232,4,92,63,7,53,0
64,26,95.34575550042999,6,93,101,8,50,0
67,26,86.51108694196499,6,94,75,10,54,0
51,18,90.16286582779544,6,94,99,10,51,0
52,18,85.53049776927243,4,93,92,10,52,0
48,21,93.23155177524038,5,93,101,7,53,0
49,22,90.38323210034741,5,92,89,9,51,0
66,25,91.86613037455368,7,93,83,8,64,0
56,20,98.06090392889644,5,93,72,7,56,0
57,21,89.37112263244003,7,95,92,10,55,0
45,24,93.22685924425676,5,95,96,8,61,0
69,29,85.45652907775703,4,92,90,10,57,0
64,18,98.76866513762758,4,96,72,7,58,0
57,25,90.66141435967803,7,93,71,9,57,0
54,19,95.29541070762984,7,94,67,9,58,0
56,29,87.77023443496925,4,92,83,8,57,0
59,19,91.35209208437328,4,96,77,9,50,0
55,19,95.19966621274425,5,92,80,8,52,0
59,26,88.6216251006326,6,93,103,9,64,0
51,18,94.25383037830264,6,95,68,7,64,0
66,24,92.91856469337156,5,94,102,10,61,0
48,26,95.14951645987864,5,95,84,7,56,0
64,16,94.67004860832378,7,96,76,9,50,0
46,16,89.27604924346646,6,92,73,9,58,0
55,27,96.37227395884905,7,96,77,7,55,0
49,19,92.08900378574164,5,92,94,9,60,0
49,26,93.06361684528451,7,96,79,10,63,0
46,28,92.15062896609147,7,92,79,9,51,0
63,29,94.98627282164173,7,95,74,7,58,0
69,23,98.71264991487735,5,95,88,7,58,0
59,18,94.58050483894634,7,94,96,8,57,0
56,17,96.21849572431307,4,95,61,8,62,0
55,28,85.20017209698051,7,95,97,8,63,0
67,27,92.95990423905897,5,94,65,7,54,0
59,20,93.88468779368964,4,96,80,9,52,0
52,28,95.99863487838974,7,93,60,10,62,0
66,17,91.23989176862321,7,94,63,8,53,0
49,22,93.89056136593658,7,94,75,9,57,0
63,17,93.02911079546702,7,92,77,10,62,0
57,22,98.3187862986597,6,94,84,7,60,0
48,29,95.28823623907584,6,96,78,8,64,0
51,18,96.85048400559883,6,94,98,7,63,0
57,22,93.74699959707841,6,94,79,8,61,0
45,26,88.75382456618809,5,94,74,9,60,0
54,22,95.33030784466517,4,94,63,10,61,0
55,17,94.5851323034889,7,94,101,9,63,0
67,24,90.85467011203211,5,96,70,8,53,0
59,24,91.12248113050444,5,93,70,9,61,0
47,21,85.54105272000781,5,96,104,10,59,0
46,26,92.05276790963579,6,95,72,7,52,0
51,29,88.85260212921065,6,95,63,8,63,0
61,19,95.54625805095894,4,92,91,10,52,0
58,24,91.76625581841469,5,96,92,8,53,0
53,21,88.40367835208183,7,94,97,10,58,0
67,17,86.17356221263955,4,94,91,7,61,0
52,22,93.79947008393151,6,92,75,8,52,0
50,28,87.90105779928754,6,92,73,7,63,0
56,24,92.1463073737057,5,95,100,9,50,0
69,28,89.53808186851434,7,96,78,7,59,0
64,23,90.93491525200827,6,96,67,8,64,0
62,22,92.18901811222214,7,96,102,10,62,0
53,18,92.40051578292591,5,96,71,7,64,0
61,29,90.08379091145328,5,95,67,7,58,0
58,23,87.87515960320437,6,95,93,9,53,0
57,24,93.31345575972942,7,95,93,9,53,0
51,24,98.6092448944563,6,95,79,8,63,0
49,21,98.61648258024974,4,93,90,10,51,0
65,17,91.41699912558356,5,96,98,10,52,0
66,22,91.4217681839407,6,93,85,9,56,0
49,19,94.23351170305358,4,92,92,8,53,0
49,26,85.23260806272017,4,92,76,8,51,0
55,29,91.8860086064405,6,92,75,7,64,0
50,18,92.78422988271022,5,94,101,7,52,0
65,22,93.90932270198157,6,96,86,10,59,0
49,20,90.99758745379289,5,93,101,9,57,0
48,22,95.59087032146199,7,96,64,8,52,0
47,20,87.2138153010271,7,93,65,8,55,0
62,22,90.91582642585901,6,92,79,8,60,0
65,18,97.55253720451512,6,92,65,9,61,0
61,21,97.38602124162381,6,95,77,7,51,0
57,16,95.39791299966659,5,95,83,7,55,0
48,23,96.22144768459995,5,93,97,10,60,0
69,19,86.04616822254258,6,94,97,7,55,0
57,26,94.75867463348067,6,93,85,7,55,0
66,19,89.56226186424958,4,96,64,10,57,0
58,22,91.38678199850794,5,96,93,9,57,0
56,28,96.95369804931505,6,94,65,7,57,0
68,17,90.85584648738681,6,95,79,7,52,0
68,21,94.8240660880738,6,94,60,7,54,0
63,19,94.76452170835861,4,96,96,7,54,0
65,22,92.0532252399683,7,95,75,10,59,0
69,25,86.94471782744917,5,96,68,10,63,0
59,21,94.82440341889482,7,96,70,8,57,0
60,23,98.22699758251656,7,95,60,10,50,0
55,24,88.61771030900827,6,92,97,8,50,0
54,20,90.4997875554325,5,95,89,8,54,0
61,25,93.51073201756255,7,96,73,10,64,0
67,22,88.33783752727557,4,96,97,7,54,0
54,17,95.04460803815456,4,95,62,10,62,0
47,16,85.57832184488086,7,93,98,9,54,0
61,27,93.46630053679944,4,93,71,8,53,0
57,29,88.78184949594666,6,93,79,10,56,0
68,29,87.55071065728764,5,93,93,10,52,0
59,22,88.51078596551065,7,93,94,10,57,0
65,22,90.8496209522964,4,96,83,10,50,0
61,19,88.17871582267594,7,93,63,10,52,0
61,25,96.12057826992066,6,96,82,10,53,0
65,28,97.5042856985705,7,92,96,10,62,0
56,24,93.6545821487494,4,96,92,8,53,0
67,26,89.51921711775226,4,93,102,7,50,0
51,22,98.87551118988064,6,96,91,8,63,0
63,28,91.32620393570892,7,96,92,7,53,0
59,20,87.0843872168652,7,93,99,10,54,0
69,20,86.2696783209706,5,95,76,7,58,0
51,24,86.69884255578222,4,96,70,7,62,0
54,21,88.85159496433903,4,94,86,9,57,0
56,25,87.42560958419793,7,96,94,9,63,0
51,20,86.2934583459502,7,95,104,8,55,0
54,29,93.05199060368473,7,94,91,9,55,0
67,22,90.32727184025417,6,94,76,7,56,0
65,24,97.60134541261348,6,94,96,9,64,0
67,24,94.93307538903122,4,96,81,8,63,0
47,16,86.28995569144296,5,96,75,8,53,0
63,28,90.28853628550887,4,92,76,7,61,0
51,19,90.50025680862613,5,94,60,7,51,0
45,26,98.03473458777437,7,96,97,8,59,0
57,16,90.611923976085,5,93,67,7,51,0
66,20,88.29358799223706,4,96,90,10,51,0
66,24,93.16625966625418,4,92,101,7,51,0
54,19,92.78333334412724,4,96,86,8,53,0
59,27,96.70734092044133,5,95,96,8,56,0
65,21,87.02331026408058,4,92,87,10,56,0
50,25,92.0827642276513,5,95,61,8,61,0
63,21,91.25963382463158,7,94,75,8,58,0
48,20,90.74633671301017,4,96,100,9,61,0
55,29,92.73147274292357,6,96,80,10,58,0
53,27,90.1475976549483,4,95,87,8,63,0
65,29,89.6376216822209,4,96,84,8,58,0
55,21,90.98932662888224,5,92,70,8,60,0
56,19,87.53885752857704,5,95,100,8,61,0
60,20,89.87620454231431,5,92,71,7,60,0
62,19,86.88323125769891,7,94,72,9,64,0
48,18,87.72128830486348,4,92,84,8,54,0
58,23,97.51252292924777,6,95,64,10,63,0
53,18,86.6520198644644,6,96,102,10,61,0
69,29,91.11041420750153,4,95,92,8,57,0
58,29,97.79092914575261,4,96,67,9,60,0
55,21,98.92515254762087,4,96,91,9,59,0
63,26,93.85464525319054,4,95,90,8,63,0
49,25,85.0210003683661,4,95,95,10,56,0
49,18,97.82535625491873,6,95,94,10,61,0
56,26,95.55147827449595,5,92,72,10,58,0
52,19,95.93486695890121,5,93,78,9,64,0
66,16,91.59964559519743,7,94,63,8,59,0
50,27,87.43687025605463,7,93,84,9,55,0
59,28,95.27788997203761,5,94,64,10,61,0
69,20,89.41545447074476,4,96,62,9,51,0
65,19,92.28091837389954,4,92,65,9,61,0
67,23,87.65033221055394,4,92,61,8,58,0
49,23,88.64189179840234,4,92,91,9,50,0
57,29,86.44920112568224,4,96,63,7,64,0
63,19,93.51998836506775,5,92,85,8,55,0
53,27,93.88440163044507,5,93,74,9,56,0
47,24,94.14282407674543,7,95,74,7,56,0
45,16,86.079856987996,6,96,89,7,51,0
68,16,98.9634946262698,6,94,74,8,50,0
50,17,90.68961546580299,7,92,67,10,54,0
63,20,87.54190464219177,6,93,82,7,55,0
57,27,97.53379241744597,5,95,90,9,51,0
48,17,85.0978722955068,4,95,74,7,55,0
48,28,98.56131565107577,4,93,100,7,62,0
52,29,94.11001219029366,5,93,90,8,62,0
54,29,88.33485407462393,5,92,88,8,58,0
49,26,88.99750167168345,5,94,85,8,58,0
60,21,98.2856185872219,6,96,99,8,58,0
65,22,93.23003256285455,5,95,70,8,50,0
60,18,97.14957853061391,4,93,96,7,50,0
56,27,96.1757289448077,5,93,103,10,62,0
58,16,91.52062872287708,4,95,64,9,53,0
56,25,92.0061969528582,7,92,60,9,64,0
58,22,98.28314725792958,7,95,99,7,61,0
68,27,93.74948380330008,7,95,91,10,50,0
54,20,88.19359852861358,5,96,91,9,52,0
46,23,93.73249956640413,6,96,96,8,64,0
46,17,91.90809711519432,7,96,91,7,60,0
53,17,86.94692153771818,7,92,89,9,58,0
49,20,92.80161596293222,4,93,92,8,62,0
61,19,87.50258062056373,4,96,86,10,59,0
64,20,87.54324226273248,6,94,102,7,57,0
58,23,96.09815200267175,5,92,73,7,50,0
66,19,87.73274128032462,7,93,83,8,51,0
60,16,95.9102986622873,5,95,63,8,50,0
51,25,88.26126726020215,7,94,82,8,63,0
51,27,85.29799049373807,5,96,97,10,62,0
46,25,87.76352712563363,7,94,68,8,60,0
49,16,88.86024187566808,6,94,71,8,50,0
66,16,86.41576490612741,7,95,66,8,62,0
48,27,88.47398463182023,5,94,104,8,58,0
61,20,91.26746404676138,4,95,76,8,54,0
54,18,96.66631246790114,4,95,65,7,55,0
59,24,98.21004472795694,5,96,95,10,64,0
53,25,89.38559815954794,6,96,67,8,59,0
52,28,85.25719138034692,7,96,83,10,63,0
53,27,95.36807647903505,5,93,83,7,51,0
67,24,95.14969344906655,6,92,100,8,63,0
54,29,88.85881244650759,7,94,61,7,52,0
45,23,92.34597128018673,5,94,104,7,53,0
61,29,89.16168771593652,6,95,84,9,54,0
57,17,92.77709998004573,7,94,73,8,63,0
69,25,94.29071208399957,5,93,100,9,60,0
46,17,98.52050670241408,5,93,65,8,54,0
46,23,90.30232531067176,5,92,63,8,56,0
69,29,95.93070902304726,5,96,95,9,54,0
66,20,91.95756099356575,4,94,82,8,57,0
53,19,94.03669359546484,6,94,85,8,55,0
59,29,86.03779507985905,4,92,67,7,57,0
63,23,94.06176399449468,7,92,70,9,54,0
65,26,88.86980523128153,4,96,96,8,57,0
66,25,87.08556227089643,4,94,85,7,55,0
61,20,91.26175525267661,7,94,94,9,59,0
49,26,91.28515558007513,6,92,72,8,63,0
52,24,96.37598376649757,4,96,63,8,61,0
65,25,98.02639553833497,6,94,91,8,63,0
50,23,88.48138975437779,5,95,85,10,51,0
57,20,85.26917543163275,4,94,63,10,64,0
46,27,97.88848143778793,5,93,65,7,51,0
49,21,98.29717535130663,4,92,60,9,57,0
69,16,91.57777501035875,4,92,102,7,55,0
48,23,93.52860460174138,6,92,78,8,51,0
46,24,91.53668790414321,5,94,102,10,53,0
46,17,89.7809386169721,5,93,82,8,62,0
45,20,85.47008236818186,7,95,69,9,60,0
49,18,97.85842734881724,4,96,71,7,53,0
68,25,88.27028238059921,5,95,91,9,54,0
46,18,96.0264793423386,4,92,96,9,57,0
52,28,96.73569075172091,4,94,73,10,58,0
45,28,85.00198240961447,6,93,69,10,55,0
54,16,91.73989148231766,6,95,83,7,54,0
51,20,95.17485738608795,4,96,90,9,55,0
52,25,98.56737552521116,4,94,70,8,61,0
57,19,90.99533211536165,4,93,83,9,56,0
57,20,91.96853315112298,4,94,80,10,53,0
62,21,91.96022791065745,7,94,101,10,52,0
46,26,94.85854995853407,7,94,68,8,60,0
48,16,88.46107331544437,6,96,67,8,63,0
64,22,96.33446778234948,5,94,96,8,63,0
51,22,89.14834813453682,5,95,101,8,64,0
47,16,93.19225514007559,5,94,75,9,57,0
49,27,87.12276397423153,6,93,79,7,57,0
66,16,89.7986251498982,6,92,79,7,51,0
66,21,85.6274511998351,6,93,77,7,60,0
53,28,87.25064461179433,6,94,100,10,61,0
66,26,90.82494316559934,4,93,94,9,61,0
49,28,92.9069849203382,7,93,95,10,56,0
48,19,90.00553940674409,7,95,90,8,59,0
47,27,87.08133534897864,7,95,75,10,63,0
50,29,95.77452965863033,4,92,76,10,50,0
59,20,88.01296149786464,5,94,65,10,52,0
60,17,87.74090430572197,5,96,96,10,62,0
67,26,91.15441771479477,6,93,77,10,51,0
54,18,93.93051966739361,5,94,77,7,50,0
66,18,92.22388730494141,7,94,62,7,64,0
48,25,92.65845917289721,6,92,99,8,64,0
53,24,93.58741121927179,6,93,102,10,55,0
45,29,90.16585578270724,5,94,92,7,60,0
46,21,93.45873425637825,5,94,91,9,57,0
48,16,97.19889571995758,6,96,85,9,59,0
50,24,93.69335155362832,6,94,97,10,62,0
64,27,88.8774542430669,7,95,98,8,50,0
62,19,93.25024453720008,6,93,72,9,56,0
55,20,88.40762370370885,4,93,74,7,61,0
60,18,86.4706891430582,5,96,90,8,63,0
45,21,85.13246892758329,4,94,78,10,52,0
61,22,91.80002490417564,4,96,75,10,60,0
53,25,92.97656707410383,7,92,95,10,54,0
49,16,88.16523954689039,4,94,72,9,53,0
52,25,97.33251226725416,5,95,72,9,62,0
51,28,92.86913111391014,6,93,82,7,64,0
45,26,93.54252069876736,7,92,89,8,60,0
45,22,88.54713678744788,7,92,67,8,56,0
56,29,87.70157423838026,4,92,103,7,61,0
48,17,89.48855779175229,5,93,84,7,52,0
