sr,rr,t,lm,bo,rem,hs,hr,sl
60.0,20.0,86.45850601438904,5.0,94.0,102.0,7.0,50.0,0
50.0,28.0,96.54779053980616,7.0,94.0,67.0,9.0,62.0,0
53.0,21.0,98.03285284455777,5.0,95.0,66.0,10.0,56.0,0
64.0,27.0,88.67886101136322,6.0,93.0,73.0,10.0,64.0,0
45.0,17.0,85.45884729974365,4.0,95.0,60.0,10.0,56.0,0
67.0,27.0,93.32408023081426,4.0,95.0,94.0,8.0,55.0,0
63.0,25.0,86.19217692956667,7.0,93.0,91.0,9.0,51.0,0
66.0,29.0,91.58448705015002,6.0,94.0,102.0,10.0,64.0,0
52.0,28.0,97.19298879210116,4.0,92.0,60.0,8.0,58.0,0
46.0,24.0,91.57032701456352,7.0,96.0,73.0,7.0,56.0,0
64.0,22.0,86.97737943494221,7.0,93.0,82.0,8.0,60.0,0
69.0,20.0,97.35826524595132,4.0,96.0,87.0,7.0,51.0,0
60.0,18.0,98.15249477676836,6.0,95.0,86.0,9.0,63.0,0
48.0,20.0,88.39121074855359,7.0,94.0,89.0,8.0,64.0,0
55.0,21.0,87.82747700292884,5.0,96.0,95.0,8.0,56.0,0
54.0,22.0,86.371546684454,7.0,95.0,98.0,8.0,56.0,0
68.0,17.0,94.68813342343212,6.0,94.0,76.0,7.0,50.0,0
69.0,22.0,96.19099556926508,6.0,94.0,86.0,7.0,64.0,0
66.0,25.0,98.44428701981302,5.0,93.0,74.0,9.0,58.0,0
56.0,20.0,86.48766719394547,6.0,93.0,84.0,9.0,53.0,0
49.0,29.0,95.54216015080527,4.0,95.0,80.0,9.0,52.0,0
69.0,22.0,94.44777888289585,6.0,96.0,80.0,10.0,57.0,0
67.0,19.0,93.65587674055548,4.0,92.0,104.0,9.0,60.0,0
62.0,23.0,85.51845586503572,4.0,95.0,92.0,8.0,50.0,0
62.0,29.0,89.08976732885239,6.0,95.0,82.0,10.0,64.0,0
64.0,29.0,94.13895383896696,7.0,93.0,69.0,7.0,57.0,0
49.0,21.0,93.0662547043098,4.0,92.0,76.0,10.0,51.0,0
57.0,26.0,85.48544934194712,6.0,95.0,71.0,7.0,56.0,0
68.0,17.0,89.95587003053244,7.0,95.0,101.0,10.0,53.0,0
68.0,16.0,98.63062112980316,6.0,95.0,102.0,8.0,55.0,0
63.0,19.0,86.09401954466514,4.0,92.0,96.0,9.0,64.0,0
47.0,26.0,94.26952863348744,7.0,96.0,90.0,9.0,55.0,0
46.0,29.0,86.05455093026042,4.0,93.0,62.0,8.0,61.0,0
56.0,21.0,95.21074688384763,5.0,92.0,97.0,8.0,58.0,0
46.0,23.0,94.8525216809474,7.0,93.0,104.0,8.0,50.0,0
46.0,25.0,97.05676255946194,5.0,93.0,67.0,9.0,60.0,0
62.0,27.0,92.31825679205068,5.0,93.0,81.0,8.0,59.0,0
69.0,27.0,86.0061091031863,4.0,94.0,65.0,7.0,61.0,0
53.0,29.0,87.59537026333868,7.0,95.0,99.0,9.0,56.0,0
66.0,17.0,88.5777313357501,4.0,94.0,67.0,7.0,56.0,0
69.0,18.0,92.83964861490448,7.0,96.0,73.0,7.0,54.0,0
55.0,28.0,90.47217779609312,7.0,94.0,78.0,9.0,60.0,0
62.0,24.0,86.49159109861714,7.0,96.0,89.0,8.0,51.0,0
68.0,22.0,87.65169258035665,4.0,95.0,86.0,9.0,52.0,0
55.0,28.0,93.10229294691683,5.0,93.0,94.0,10.0,61.0,0
58.0,23.0,98.01355225750385,4.0,93.0,97.0,9.0,55.0,0
49.0,18.0,92.65750325290104,6.0,93.0,100.0,9.0,60.0,0
62.0,25.0,97.22013476181212,6.0,95.0,96.0,8.0,61.0,0
61.0,18.0,91.13117852135647,6.0,95.0,90.0,8.0,56.0,0
59.0,27.0,95.957167410359,6.0,96.0,103.0,9.0,57.0,0
51.0,23.0,89.60480962665287,4.0,93.0,98.0,8.0,54.0,0
67.0,18.0,90.07227927128235,4.0,93.0,62.0,10.0,56.0,0
49.0,17.0,87.99808777579244,5.0,92.0,102.0,8.0,57.0,0
56.0,27.0,96.28030593153426,7.0,95.0,80.0,7.0,59.0,0
56.0,21.0,91.3709122740002,6.0,93.0,89.0,9.0,58.0,0
67.0,20.0,89.8329223497137,4.0,92.0,86.0,10.0,54.0,0
67.0,25.0,90.2613458231366,4.0,95.0,63.0,7.0,56.0,0
69.0,21.0,98.5038654115014,7.0,95.0,68.0,9.0,50.0,0
58.0,17.0,89.55448058854032,5.0,96.0,66.0,8.0,61.0,0
67.0,29.0,94.89376443941688,7.0,95.0,85.0,8.0,58.0,0
47.0,16.0,95.82826305709033,7.0,92.0,69.0,8.0,51.0,0
52.0,29.0,91.58965561852196,4.0,96.0,91.0,10.0,58.0,0
69.0,19.0,88.34471656331846,5.0,96.0,83.0,8.0,53.0,0
63.0,22.0,92.04092440769008,4.0,96.0,88.0,8.0,54.0,0
58.0,28.0,96.347936385062,4.0,92.0,91.0,8.0,64.0,0
69.0,23.0,93.67115255357808,5.0,92.0,100.0,9.0,61.0,0
47.0,26.0,95.8499539351758,6.0,93.0,61.0,7.0,53.0,0
63.0,17.0,97.4221684690561,4.0,94.0,82.0,8.0,61.0,0
62.0,19.0,92.20126494545768,5.0,94.0,99.0,8.0,61.0,0
51.0,29.0,95.6537473319183,5.0,94.0,66.0,7.0,54.0,0
67.0,26.0,97.51550279871124,4.0,94.0,82.0,10.0,58.0,0
62.0,18.0,89.32085283063758,4.0,92.0,81.0,9.0,63.0,0
49.0,16.0,94.70562380669496,6.0,92.0,72.0,9.0,62.0,0
62.0,19.0,89.40869231811848,7.0,96.0,88.0,9.0,54.0,0
60.0,27.0,90.8475125248038,5.0,92.0,81.0,7.0,52.0,0
65.0,24.0,93.03639676614978,5.0,92.0,93.0,10.0,54.0,0
59.0,23.0,87.73353022103325,7.0,95.0,63.0,7.0,58.0,0
52.0,26.0,88.18053326153766,4.0,92.0,63.0,10.0,57.0,0
64.0,17.0,86.78964281144783,5.0,93.0,75.0,7.0,54.0,0
60.0,25.0,92.49750787785882,6.0,94.0,96.0,10.0,52.0,0
46.0,21.0,90.59261557842244,4.0,94.0,70.0,8.0,56.0,0
47.0,22.0,98.01333232068698,6.0,95.0,62.0,10.0,55.0,0
48.0,22.0,86.04609230887705,7.0,94.0,95.0,9.0,58.0,0
53.0,26.0,93.26426397241814,5.0,96.0,99.0,9.0,60.0,0
58.0,23.0,97.11404450756363,7.0,92.0,62.0,9.0,59.0,0
48.0,19.0,96.38254413059953,4.0,92.0,65.0,10.0,57.0,0
45.0,23.0,88.13804009544793,6.0,94.0,88.0,10.0,50.0,0
58.0,26.0,91.9523643326604,7.0,93.0,81.0,9.0,64.0,0
56.0,23.0,97.5522968063585,4.0,94.0,64.0,8.0,55.0,0
46.0,25.0,85.48255055916142,6.0,95.0,83.0,8.0,56.0,0
56.0,22.0,85.34795737938404,6.0,94.0,81.0,10.0,53.0,0
52.0,26.0,97.54200173262848,7.0,94.0,83.0,9.0,51.0,0
46.0,24.0,87.61220791271093,4.0,96.0,62.0,9.0,52.0,0
48.0,16.0,85.98262023804828,4.0,95.0,80.0,9.0,63.0,0
60.0,18.0,96.67365613792605,6.0,93.0,96.0,10.0,51.0,0
50.0,17.0,89.42806180328378,4.0,93.0,69.0,9.0,51.0,0
53.0,25.0,86.94392134062879,6.0,92.0,69.0,9.0,53.0,0
52.0,25.0,93.65653941379462,6.0,93.0,97.0,10.0,55.0,0
49.0,27.0,85.8299604948742,5.0,93.0,70.0,10.0,53.0,0
68.0,27.0,95.10244807111656,5.0,96.0,96.0,8.0,63.0,0
46.0,19.0,95.79554260246094,5.0,94.0,70.0,10.0,52.0,0
69.0,20.0,86.35959660056267,6.0,93.0,96.0,7.0,55.0,0
58.0,20.0,98.59560310295554,4.0,94.0,66.0,8.0,50.0,0
58.0,25.0,95.50614847810718,7.0,94.0,61.0,7.0,53.0,0
52.0,22.0,90.37358448790256,7.0,93.0,95.0,8.0,63.0,0
53.0,17.0,93.3730943402504,6.0,96.0,61.0,8.0,64.0,0
61.0,23.0,92.0905518493052,4.0,93.0,62.0,10.0,62.0,0
50.0,29.0,96.84515911370838,4.0,96.0,99.0,9.0,51.0,0
64.0,18.0,92.53654888902118,7.0,96.0,86.0,10.0,55.0,0
62.0,24.0,86.0633843745991,6.0,93.0,93.0,8.0,64.0,0
58.0,28.0,95.6868393200139,6.0,93.0,69.0,8.0,62.0,0
66.0,18.0,86.2373001698587,4.0,93.0,90.0,9.0,55.0,0
63.0,27.0,98.24103731453232,4.0,92.0,103.0,10.0,56.0,0
61.0,23.0,97.38200369849916,7.0,94.0,68.0,10.0,50.0,0
52.0,16.0,94.42662901199252,4.0,96.0,91.0,7.0,62.0,0
52.0,16.0,88.5116652983013,6.0,94.0,90.0,10.0,59.0,0
61.0,28.0,86.75337590814128,6.0,96.0,63.0,8.0,61.0,0
69.0,25.0,93.7799361754621,7.0,93.0,96.0,8.0,57.0,0
66.0,26.0,91.8114081410446,4.0,94.0,92.0,8.0,57.0,0
61.0,24.0,96.04688708992823,5.0,93.0,81.0,10.0,64.0,0
68.0,21.0,90.22284174453196,6.0,92.0,86.0,10.0,63.0,0
50.0,25.0,91.41125725059813,6.0,92.0,71.0,8.0,63.0,0
51.0,27.0,85.11926558735561,4.0,95.0,100.0,8.0,61.0,0
57.0,18.0,92.08477872533412,6.0,92.0,68.0,8.0,55.0,0
61.0,25.0,97.50843309193534,4.0,96.0,98.0,8.0,51.0,0
54.0,20.0,85.10699712976312,4.0,95.0,79.0,7.0,63.0,0
69.0,16.0,85.81436832215512,7.0,92.0,61.0,7.0,55.0,0
60.0,16.0,89.96209024119355,5.0,96.0,69.0,10.0,58.0,0
67.0,28.0,96.25128116923744,4.0,96.0,78.0,9.0,51.0,0
57.0,16.0,90.59949821605272,5.0,95.0,61.0,10.0,56.0,0
55.0,25.0,89.25814218270388,7.0,93.0,86.0,7.0,53.0,0
46.0,23.0,94.0425494217554,6.0,96.0,98.0,7.0,62.0,0
64.0,23.0,88.07886481580634,5.0,93.0,84.0,7.0,57.0,0
50.0,27.0,92.654723756197,7.0,93.0,78.0,10.0,53.0,0
64.0,21.0,85.25126700087424,4.0,96.0,89.0,7.0,62.0,0
47.0,19.0,97.03609166468738,5.0,95.0,101.0,8.0,53.0,0
54.0,27.0,90.7531752395846,5.0,92.0,91.0,8.0,62.0,0
65.0,23.0,98.6879871368393,7.0,96.0,70.0,9.0,56.0,0
61.0,23.0,94.27116530735884,6.0,96.0,78.0,9.0,61.0,0
63.0,25.0,87.88408941456109,5.0,95.0,102.0,10.0,52.0,0
45.0,29.0,89.61663442661771,5.0,95.0,66.0,8.0,56.0,0
67.0,16.0,88.33009623700929,5.0,93.0,98.0,7.0,56.0,0
69.0,23.0,85.00949832926194,5.0,96.0,95.0,9.0,63.0,0
64.0,23.0,92.6631757268786,5.0,93.0,82.0,7.0,51.0,0
53.0,23.0,98.92980754154348,6.0,93.0,73.0,8.0,56.0,0
53.0,17.0,98.10198859231156,4.0,92.0,67.0,7.0,63.0,0
60.0,20.0,87.6937076706437,6.0,96.0,62.0,10.0,59.0,0
49.0,23.0,86.9152054964493,6.0,96.0,94.0,8.0,50.0,0
46.0,23.0,95.01871705236732,4.0,93.0,76.0,9.0,62.0,0
65.0,19.0,97.93189471659149,6.0,92.0,90.0,7.0,50.0,0
68.0,28.0,98.53176303890427,7.0,92.0,101.0,10.0,59.0,0
66.0,29.0,88.48900419627552,5.0,94.0,62.0,7.0,51.0,0
57.0,20.0,98.6297300567889,6.0,94.0,93.0,9.0,59.0,0
63.0,26.0,93.241756103745,7.0,94.0,74.0,7.0,61.0,0
49.0,19.0,94.1719652670414,6.0,94.0,74.0,7.0,63.0,0
67.0,22.0,88.51409268631983,4.0,93.0,64.0,8.0,51.0,0
48.0,22.0,85.44190513651401,6.0,92.0,80.0,8.0,53.0,0
64.0,26.0,94.0498172388967,5.0,96.0,66.0,9.0,52.0,0
47.0,23.0,92.1484817141783,4.0,93.0,64.0,7.0,61.0,0
47.0,17.0,85.93939558240719,7.0,96.0,70.0,8.0,50.0,0
55.0,18.0,90.69394741912406,6.0,92.0,64.0,10.0,58.0,0
58.0,23.0,89.11299151049266,4.0,96.0,97.0,7.0,57.0,0
66.0,21.0,87.46591197284432,5.0,95.0,83.0,9.0,61.0,0
59.0,27.0,85.01190752698717,5.0,92.0,103.0,9.0,52.0,0
50.0,28.0,91.73789358862716,4.0,94.0,78.0,9.0,56.0,0
50.0,25.0,98.43280333873754,5.0,93.0,67.0,10.0,50.0,0
65.0,19.0,89.40113041222307,6.0,92.0,102.0,9.0,64.0,0
54.0,28.0,97.35349815750357,7.0,94.0,60.0,9.0,64.0,0
64.0,16.0,97.72862296078668,5.0,96.0,84.0,9.0,64.0,0
49.0,23.0,96.52130266481802,5.0,95.0,92.0,9.0,57.0,0
46.0,25.0,85.62609583664307,7.0,93.0,95.0,7.0,51.0,0
68.0,23.0,86.60320963880129,6.0,96.0,63.0,9.0,51.0,0
60.0,21.0,97.53972039763444,5.0,92.0,65.0,7.0,63.0,0
54.0,24.0,96.73142396836178,7.0,96.0,66.0,9.0,52.0,0
62.0,28.0,96.56285805981622,7.0,96.0,92.0,7.0,57.0,0
50.0,16.0,85.96693581874418,4.0,96.0,96.0,10.0,63.0,0
63.0,28.0,96.34995277499254,6.0,95.0,87.0,8.0,64.0,0
53.0,23.0,90.55345787626544,7.0,93.0,70.0,10.0,59.0,0
45.0,21.0,93.08316330195711,6.0,92.0,78.0,8.0,59.0,0
48.0,19.0,95.28570175450014,6.0,92.0,64.0,9.0,57.0,0
62.0,26.0,88.95832827499423,6.0,92.0,70.0,7.0,54.0,0
63.0,19.0,94.7744262198648,7.0,95.0,77.0,8.0,59.0,0
54.0,25.0,85.5762496842841,5.0,92.0,98.0,7.0,54.0,0
53.0,17.0,96.04830244278604,4.0,96.0,67.0,9.0,57.0,0
62.0,17.0,97.40969414468223,4.0,93.0,79.0,9.0,60.0,0
69.0,25.0,97.3222046671499,4.0,93.0,67.0,10.0,56.0,0
63.0,22.0,88.00922116746013,5.0,92.0,77.0,8.0,60.0,0
45.0,22.0,90.58256555369984,6.0,96.0,80.0,10.0,61.0,0
60.0,20.0,93.82283034689974,5.0,96.0,93.0,9.0,50.0,0
57.0,18.0,98.29270838794044,5.0,92.0,89.0,9.0,55.0,0
61.0,28.0,85.008088201294,6.0,92.0,76.0,10.0,58.0,0
47.0,16.0,88.43020362792582,6.0,94.0,103.0,8.0,61.0,0
64.0,26.0,90.96959793155251,7.0,94.0,77.0,9.0,58.0,0
57.0,19.0,91.91039965980976,4.0,96.0,61.0,10.0,59.0,0
59.0,25.0,98.9491336009662,5.0,93.0,66.0,8.0,50.0,0
54.0,20.0,96.13868164342564,4.0,92.0,80.0,7.0,55.0,0
49.0,21.0,88.89133195576679,6.0,95.0,102.0,9.0,58.0,0
57.0,22.0,97.76339081214653,4.0,93.0,77.0,8.0,51.0,0
45.0,26.0,90.07351328085392,5.0,96.0,89.0,7.0,55.0,0
57.0,17.0,94.73831103258594,6.0,93.0,97.0,8.0,56.0,0
53.0,26.0,85.6045641193872,4.0,96.0,81.0,10.0,50.0,0
62.0,22.0,88.24488240122511,6.0,96.0,83.0,10.0,63.0,0
62.0,29.0,96.80435535527218,5.0,94.0,64.0,10.0,50.0,0
50.0,26.0,87.39935941015696,4.0,96.0,101.0,10.0,57.0,0
48.0,25.0,95.26508132558588,6.0,94.0,81.0,10.0,56.0,0
60.0,21.0,96.7763031254793,4.0,95.0,70.0,10.0,60.0,0
49.0,21.0,95.5170119303484,5.0,93.0,67.0,8.0,61.0,0
55.0,24.0,93.62606687802162,4.0,94.0,102.0,10.0,55.0,0
50.0,16.0,86.95432482167054,7.0,93.0,91.0,8.0,55.0,0
45.0,16.0,94.59254521929442,7.0,96.0,97.0,7.0,50.0,0
64.0,16.0,97.08124669152558,4.0,96.0,82.0,8.0,53.0,0
63.0,16.0,98.54700018494285,7.0,96.0,68.0,9.0,54.0,0
50.0,27.0,89.92437482526161,4.0,92.0,61.0,9.0,59.0,0
59.0,27.0,89.77456162646232,4.0,92.0,63.0,7.0,53.0,0
64.0,26.0,95.34575550043,6.0,93.0,101.0,8.0,50.0,0
67.0,26.0,86.51108694196499,6.0,94.0,75.0,10.0,54.0,0
51.0,18.0,90.16286582779544,6.0,94.0,99.0,10.0,51.0,0
52.0,18.0,85.53049776927243,4.0,93.0,92.0,10.0,52.0,0
48.0,21.0,93.23155177524038,5.0,93.0,101.0,7.0,53.0,0
49.0,22.0,90.3832321003474,5.0,92.0,89.0,9.0,51.0,0
66.0,25.0,91.86613037455368,7.0,93.0,83.0,8.0,64.0,0
56.0,20.0,98.06090392889644,5.0,93.0,72.0,7.0,56.0,0
57.0,21.0,89.37112263244003,7.0,95.0,92.0,10.0,55.0,0
45.0,24.0,93.22685924425676,5.0,95.0,96.0,8.0,61.0,0
69.0,29.0,85.45652907775703,4.0,92.0,90.0,10.0,57.0,0
64.0,18.0,98.76866513762758,4.0,96.0,72.0,7.0,58.0,0
57.0,25.0,90.66141435967803,7.0,93.0,71.0,9.0,57.0,0
54.0,19.0,95.29541070762984,7.0,94.0,67.0,9.0,58.0,0
56.0,29.0,87.77023443496925,4.0,92.0,83.0,8.0,57.0,0
59.0,19.0,91.35209208437328,4.0,96.0,77.0,9.0,50.0,0
55.0,19.0,95.19966621274423,5.0,92.0,80.0,8.0,52.0,0
59.0,26.0,88.6216251006326,6.0,93.0,103.0,9.0,64.0,0
51.0,18.0,94.25383037830264,6.0,95.0,68.0,7.0,64.0,0
66.0,24.0,92.91856469337156,5.0,94.0,102.0,10.0,61.0,0
48.0,26.0,95.14951645987864,5.0,95.0,84.0,7.0,56.0,0
64.0,16.0,94.67004860832378,7.0,96.0,76.0,9.0,50.0,0
46.0,16.0,89.27604924346646,6.0,92.0,73.0,9.0,58.0,0
55.0,27.0,96.37227395884904,7.0,96.0,77.0,7.0,55.0,0
49.0,19.0,92.08900378574164,5.0,92.0,94.0,9.0,60.0,0
49.0,26.0,93.06361684528451,7.0,96.0,79.0,10.0,63.0,0
46.0,28.0,92.15062896609147,7.0,92.0,79.0,9.0,51.0,0
63.0,29.0,94.98627282164172,7.0,95.0,74.0,7.0,58.0,0
69.0,23.0,98.71264991487736,5.0,95.0,88.0,7.0,58.0,0
59.0,18.0,94.58050483894634,7.0,94.0,96.0,8.0,57.0,0
56.0,17.0,96.21849572431309,4.0,95.0,61.0,8.0,62.0,0
55.0,28.0,85.20017209698051,7.0,95.0,97.0,8.0,63.0,0
67.0,27.0,92.95990423905896,5.0,94.0,65.0,7.0,54.0,0
59.0,20.0,93.88468779368964,4.0,96.0,80.0,9.0,52.0,0
52.0,28.0,95.99863487838974,7.0,93.0,60.0,10.0,62.0,0
66.0,17.0,91.2398917686232,7.0,94.0,63.0,8.0,53.0,0
49.0,22.0,93.89056136593658,7.0,94.0,75.0,9.0,57.0,0
63.0,17.0,93.02911079546702,7.0,92.0,77.0,10.0,62.0,0
57.0,22.0,98.3187862986597,6.0,94.0,84.0,7.0,60.0,0
48.0,29.0,95.28823623907584,6.0,96.0,78.0,8.0,64.0,0
51.0,18.0,96.85048400559884,6.0,94.0,98.0,7.0,63.0,0
57.0,22.0,93.7469995970784,6.0,94.0,79.0,8.0,61.0,0
45.0,26.0,88.75382456618809,5.0,94.0,74.0,9.0,60.0,0
54.0,22.0,95.33030784466516,4.0,94.0,63.0,10.0,61.0,0
55.0,17.0,94.5851323034889,7.0,94.0,101.0,9.0,63.0,0
67.0,24.0,90.85467011203212,5.0,96.0,70.0,8.0,53.0,0
59.0,24.0,91.12248113050444,5.0,93.0,70.0,9.0,61.0,0
47.0,21.0,85.54105272000781,5.0,96.0,104.0,10.0,59.0,0
46.0,26.0,92.0527679096358,6.0,95.0,72.0,7.0,52.0,0
51.0,29.0,88.85260212921065,6.0,95.0,63.0,8.0,63.0,0
61.0,19.0,95.54625805095894,4.0,92.0,91.0,10.0,52.0,0
58.0,24.0,91.76625581841468,5.0,96.0,92.0,8.0,53.0,0
53.0,21.0,88.40367835208183,7.0,94.0,97.0,10.0,58.0,0
67.0,17.0,86.17356221263955,4.0,94.0,91.0,7.0,61.0,0
52.0,22.0,93.79947008393152,6.0,92.0,75.0,8.0,52.0,0
50.0,28.0,87.90105779928754,6.0,92.0,73.0,7.0,63.0,0
56.0,24.0,92.1463073737057,5.0,95.0,100.0,9.0,50.0,0
69.0,28.0,89.53808186851434,7.0,96.0,78.0,7.0,59.0,0
64.0,23.0,90.93491525200828,6.0,96.0,67.0,8.0,64.0,0
62.0,22.0,92.18901811222214,7.0,96.0,102.0,10.0,62.0,0
53.0,18.0,92.40051578292592,5.0,96.0,71.0,7.0,64.0,0
61.0,29.0,90.08379091145328,5.0,95.0,67.0,7.0,58.0,0
58.0,23.0,87.87515960320437,6.0,95.0,93.0,9.0,53.0,0
57.0,24.0,93.31345575972942,7.0,95.0,93.0,9.0,53.0,0
51.0,24.0,98.6092448944563,6.0,95.0,79.0,8.0,63.0,0
49.0,21.0,98.61648258024974,4.0,93.0,90.0,10.0,51.0,0
65.0,17.0,91.41699912558356,5.0,96.0,98.0,10.0,52.0,0
66.0,22.0,91.4217681839407,6.0,93.0,85.0,9.0,56.0,0
49.0,19.0,94.23351170305358,4.0,92.0,92.0,8.0,53.0,0
49.0,26.0,85.23260806272017,4.0,92.0,76.0,8.0,51.0,0
55.0,29.0,91.8860086064405,6.0,92.0,75.0,7.0,64.0,0
50.0,18.0,92.78422988271022,5.0,94.0,101.0,7.0,52.0,0
65.0,22.0,93.90932270198157,6.0,96.0,86.0,10.0,59.0,0
49.0,20.0,90.99758745379287,5.0,93.0,101.0,9.0,57.0,0
48.0,22.0,95.590870321462,7.0,96.0,64.0,8.0,52.0,0
47.0,20.0,87.2138153010271,7.0,93.0,65.0,8.0,55.0,0
62.0,22.0,90.915826425859,6.0,92.0,79.0,8.0,60.0,0
65.0,18.0,97.55253720451512,6.0,92.0,65.0,9.0,61.0,0
61.0,21.0,97.3860212416238,6.0,95.0,77.0,7.0,51.0,0
57.0,16.0,95.3979129996666,5.0,95.0,83.0,7.0,55.0,0
48.0,23.0,96.22144768459997,5.0,93.0,97.0,10.0,60.0,0
69.0,19.0,86.04616822254258,6.0,94.0,97.0,7.0,55.0,0
57.0,26.0,94.75867463348068,6.0,93.0,85.0,7.0,55.0,0
66.0,19.0,89.56226186424958,4.0,96.0,64.0,10.0,57.0,0
58.0,22.0,91.38678199850794,5.0,96.0,93.0,9.0,57.0,0
56.0,28.0,96.95369804931504,6.0,94.0,65.0,7.0,57.0,0
68.0,17.0,90.8558464873868,6.0,95.0,79.0,7.0,52.0,0
68.0,21.0,94.8240660880738,6.0,94.0,60.0,7.0,54.0,0
63.0,19.0,94.7645217083586,4.0,96.0,96.0,7.0,54.0,0
65.0,22.0,92.0532252399683,7.0,95.0,75.0,10.0,59.0,0
69.0,25.0,86.94471782744917,5.0,96.0,68.0,10.0,63.0,0
59.0,21.0,94.82440341889482,7.0,96.0,70.0,8.0,57.0,0
60.0,23.0,98.22699758251656,7.0,95.0,60.0,10.0,50.0,0
55.0,24.0,88.61771030900827,6.0,92.0,97.0,8.0,50.0,0
54.0,20.0,90.4997875554325,5.0,95.0,89.0,8.0,54.0,0
